Opponent: actual Expert+ (ai_choose difficulty=1), unchanged search.
REINFORCE, alternating sides, terminal rewards, cap=1600 plies.
Resume=0 target=100000; session statistics start here.
game 7/100000 | learner blue | ply 80 | elapsed 178s
game 7/100000 | learner blue | ply 100 | elapsed 180s
game 7/100000 | learner blue | ply 120 | elapsed 181s
game 7/100000 | learner blue | ply 140 | elapsed 183s
game 7/100000 | learner blue | ply 160 | elapsed 185s
game 7/100000 | learner blue | ply 180 | elapsed 187s
game 7/100000 | learner blue | ply 200 | elapsed 189s
game 7/100000 | learner blue | ply 220 | elapsed 191s
game 7/100000 | learner blue | ply 240 | elapsed 193s
game 7/100000 | learner blue | ply 260 | elapsed 195s
game 7/100000 | learner blue | ply 280 | elapsed 196s
game 7/100000 | learner blue | ply 300 | elapsed 197s
game 7/100000 | learner blue | ply 320 | elapsed 198s
game 7/100000 | learner blue | ply 340 | elapsed 199s
game 7/100000 | learner blue | ply 360 | elapsed 200s
game 7/100000 | learner blue | ply 380 | elapsed 201s
game 7/100000 | learner blue | ply 400 | elapsed 202s
game 7/100000 | learner blue | ply 420 | elapsed 202s
game 7/100000 | learner blue | ply 440 | elapsed 203s
SAVED 7/100000 | session W=0 L=7 capped=0 | last plies=450 | elapsed 203s
game 8/100000 | learner red | ply 20 | elapsed 206s
game 8/100000 | learner red | ply 40 | elapsed 208s
game 8/100000 | learner red | ply 60 | elapsed 210s
game 8/100000 | learner red | ply 80 | elapsed 212s
game 8/100000 | learner red | ply 100 | elapsed 214s
game 8/100000 | learner red | ply 120 | elapsed 215s
game 8/100000 | learner red | ply 140 | elapsed 217s
game 8/100000 | learner red | ply 160 | elapsed 218s
game 8/100000 | learner red | ply 180 | elapsed 220s
game 8/100000 | learner red | ply 200 | elapsed 221s
game 8/100000 | learner red | ply 220 | elapsed 222s
game 8/100000 | learner red | ply 240 | elapsed 224s
game 8/100000 | learner red | ply 260 | elapsed 225s
game 8/100000 | learner red | ply 280 | elapsed 226s
game 8/100000 | learner red | ply 300 | elapsed 227s
game 8/100000 | learner red | ply 320 | elapsed 228s
game 8/100000 | learner red | ply 340 | elapsed 229s
game 8/100000 | learner red | ply 360 | elapsed 230s
game 8/100000 | learner red | ply 380 | elapsed 231s
game 8/100000 | learner red | ply 400 | elapsed 231s
game 8/100000 | learner red | ply 420 | elapsed 232s
game 8/100000 | learner red | ply 440 | elapsed 233s
game 8/100000 | learner red | ply 460 | elapsed 233s
game 8/100000 | learner red | ply 480 | elapsed 234s
SAVED 8/100000 | session W=0 L=8 capped=0 | last plies=497 | elapsed 234s
game 9/100000 | learner blue | ply 20 | elapsed 237s
game 9/100000 | learner blue | ply 40 | elapsed 239s
